time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/value_loss,train/clip_fraction,time/iterations,train/std,train/n_updates,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/entropy_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/learning_rate
11,1732,20480,0.3259543776512146,0.2509092638734728,0.2804931640625,10,0.13413545489311218,180,-0.06171734145027585,0.2,1000.0,3.5404110580682753,-12.679165100000002,0.02533058,0.024708829820156097,2.5e-05
24,1648,40960,0.8949754238128662,4.580450348742306,0.2954345703125,20,0.13301128149032593,380,-0.0603176359050849,0.2,1000.0,3.592494784295559,120.307132,0.031518288,1.3691437244415283,2.5e-05
37,1643,61440,0.9483332633972168,4.29463152885437,0.351416015625,30,0.131734237074852,580,-0.05854219757893588,0.2,1000.0,3.6466610416769982,150.93800311475408,0.03977041,1.3632400035858154,2.5e-05
49,1644,81920,0.9549696445465088,9.502312227338553,0.3999267578125,40,0.12953384220600128,780,-0.05737103361316258,0.2,1000.0,3.747070421278477,237.25248222222223,0.045794994,4.672056674957275,2.5e-05
62,1627,102400,0.9363659620285034,13.959784545749425,0.4075927734375,50,0.12771160900592804,980,-0.0577891573382658,0.2,1000.0,3.832056726515293,339.3827598,0.04794184,4.8468170166015625,2.5e-05
75,1624,122880,0.9506959915161133,17.58727033883333,0.4446533203125,60,0.1258377581834793,1180,-0.0572426146332873,0.2,1000.0,3.92193715646863,535.99474609,0.046939038,4.86331844329834,2.5e-05
88,1615,143360,0.9247128963470459,26.331082490086555,0.513427734375,70,0.12440842390060425,1380,-0.059024068867438474,0.2,1000.0,3.990956072509289,748.82393039,0.07180779,13.166054725646973,2.5e-05
101,1609,163840,0.9330097436904907,33.04409286975861,0.454248046875,80,0.12267016619443893,1580,-0.056533032900188115,0.2,1000.0,4.072368130832911,999.9057850700001,0.05875296,10.998886108398438,2.5e-05
114,1610,184320,0.9269311428070068,36.578680692613126,0.48037109375,90,0.12129739671945572,1780,-0.04887879996094853,0.2,1000.0,4.144265715777874,1207.69957558,0.05795701,12.899165153503418,2.5e-05
127,1605,204800,0.7479282021522522,21.608411765098573,0.5198974609375,100,0.12020856142044067,1980,-0.05385975434473948,0.2,1000.0,4.198110450804234,1398.7445254199995,0.078107834,9.34993839263916,2.5e-05
140,1607,225280,0.8086473941802979,28.24539008140564,0.5305908203125,110,0.11884947866201401,2180,-0.04835901997576002,0.2,1000.0,4.266399154812097,1574.2970553200003,0.075052306,13.161834716796875,2.5e-05
152,1607,245760,0.9019896984100342,32.58553238362074,0.5165771484375,120,0.11748393625020981,2380,-0.04439329828528571,0.2,1000.0,4.338346470147371,1677.13681262,0.07334746,16.05797576904297,2.5e-05
165,1612,266240,0.912362277507782,43.364848682284354,0.520751953125,130,0.1164097785949707,2580,-0.045297616239986384,0.2,1000.0,4.39320872426033,1752.13201723,0.07797074,16.033241271972656,2.5e-05
177,1615,286720,0.9220296740531921,34.18940045386553,0.5352783203125,140,0.11489186435937881,2780,-0.048764966334420026,0.2,1000.0,4.4700986534357074,1829.81539671,0.08656987,21.81348419189453,2.5e-05
190,1615,307200,0.909612774848938,35.297961397469045,0.5281494140625,150,0.11354909092187881,2980,-0.049956820729858006,0.2,1000.0,4.541256813704967,1892.2295576899996,0.082107976,15.429155349731445,2.5e-05
202,1621,327680,0.825143575668335,32.137359750270846,0.5496826171875,160,0.11295440047979355,3180,-0.04279474730865331,0.2,1000.0,4.572264463454485,1965.22532034,0.08177623,13.907649040222168,2.5e-05
214,1625,348160,0.9164352416992188,63.97950152754784,0.522412109375,170,0.11162322759628296,3380,-0.04002321350126294,0.2,1000.0,4.643928055465222,2039.7743606000001,0.06953235,26.129837036132812,2.5e-05
226,1628,368640,0.9192620515823364,46.419332748651506,0.57275390625,180,0.11117411404848099,3580,-0.037639179255347696,0.2,1000.0,4.670910699665546,2136.70596627,0.08803404,45.554725646972656,2.5e-05
238,1632,389120,0.9212356209754944,64.71192845106125,0.5216552734375,190,0.1100187823176384,3780,-0.043501693128200715,0.2,1000.0,4.733422742038965,2162.85735609,0.07027068,32.3321533203125,2.5e-05
250,1633,409600,0.9011287689208984,66.81769407987595,0.5551513671875,200,0.10934729129076004,3980,-0.04248753784049768,0.2,1000.0,4.76914256811142,2205.60541709,0.07353924,37.79384231567383,2.5e-05
262,1635,430080,0.898266077041626,53.43689767122269,0.53876953125,210,0.10893663763999939,4180,-0.040278098205453715,0.2,1000.0,4.794443437457085,2245.38044835,0.086644664,27.962312698364258,2.5e-05
275,1633,450560,0.902802586555481,76.42164316177369,0.535986328125,220,0.1083209291100502,4380,-0.04990529673959827,0.2,1000.0,4.826238309592009,2283.10114756,0.08175407,28.25050163269043,2.5e-05
287,1637,471040,0.9139086008071899,50.60228995084763,0.5634521484375,230,0.10753381252288818,4580,-0.03870857569854706,0.2,1000.0,4.869044197350741,2345.8702586800005,0.09012473,31.389328002929688,2.5e-05
299,1640,491520,0.8975196480751038,51.98164792060852,0.5333251953125,240,0.10706692934036255,4780,-0.0439052538771648,0.2,1000.0,4.895176937431097,2417.6196592099996,0.0739312,22.97721290588379,2.5e-05
312,1640,512000,0.8886802196502686,60.40059754252434,0.562109375,250,0.10649005323648453,4980,-0.04597401316059404,0.2,1000.0,4.934140132367611,2501.3394718399995,0.08824869,29.369413375854492,2.5e-05
325,1638,532480,0.8632042407989502,51.359657272696495,0.594775390625,260,0.10587195307016373,5180,-0.018260659337829565,0.2,1000.0,4.967883164435625,2556.7882259499997,0.12313487,20.461341857910156,2.5e-05
337,1636,552960,0.8933159708976746,72.20603535473347,0.5552734375,270,0.10493677854537964,5380,-0.02897489811948617,0.2,1000.0,5.022371950745582,2639.77258356,0.069145724,37.75992965698242,2.5e-05
350,1637,573440,0.9380427002906799,48.380807641148564,0.52763671875,280,0.10413122922182083,5580,-0.045311872421007135,0.2,1000.0,5.070100563019514,2718.50339439,0.07508038,16.24905014038086,2.5e-05
363,1636,593920,0.8198803663253784,28.202099274098874,0.605029296875,290,0.10345789045095444,5780,-0.021884881510050035,0.2,1000.0,5.110510412603617,2770.1997444399994,0.11701949,17.904115676879883,2.5e-05
375,1634,614400,0.9209072589874268,76.20923379957677,0.5155029296875,300,0.10254357010126114,5980,-0.04193305382214021,0.2,1000.0,5.163633929938078,2837.9094185999998,0.07675508,39.291446685791016,2.5e-05
388,1635,634880,0.870241105556488,54.884135165810584,0.5294189453125,310,0.10145348310470581,6180,-0.038115644128993154,0.2,1000.0,5.223022460192442,2914.14899374,0.074697524,28.07472801208496,2.5e-05
400,1635,655360,0.915253758430481,59.026168435812,0.57373046875,320,0.10024211555719376,6380,-0.032016177004697964,0.2,1000.0,5.297103670984507,2990.7961640799995,0.0876575,21.74393653869629,2.5e-05
412,1636,675840,0.8702248334884644,34.9917298167944,0.589599609375,330,0.10010194033384323,6580,-0.02072756585184834,0.2,1000.0,5.309505169093609,3066.5055208700005,0.08721221,20.497665405273438,2.5e-05
426,1633,696320,0.9299647808074951,36.28858487606048,0.585986328125,340,0.09983126074075699,6780,-0.028073963732094854,0.2,1000.0,5.3285301618278025,3125.8108591299992,0.09549068,22.02052116394043,2.5e-05
440,1626,716800,0.8638460636138916,30.206159873306753,0.635546875,350,0.09989883750677109,6980,-0.012893899308983237,0.2,1000.0,5.330269677191973,3189.60513939,0.11735513,12.3811616897583,2.5e-05
454,1621,737280,0.868280827999115,59.070038416981696,0.593701171875,360,0.09935241937637329,7180,-0.027710842556552963,0.2,1000.0,5.363815234601498,3205.0697507600003,0.098591514,32.698604583740234,2.5e-05
468,1616,757760,0.8455560803413391,31.06589329093695,0.6482177734375,370,0.0990569218993187,7380,-0.006504261981172021,0.2,1000.0,5.379359162598848,3176.6743289600004,0.35638976,9.272170066833496,2.5e-05
482,1612,778240,0.9135600328445435,35.07189593762159,0.550537109375,380,0.09860178828239441,7580,-0.045813849751721133,0.2,1000.0,5.405413936078548,3132.20123908,0.084935546,16.48117446899414,2.5e-05
495,1611,798720,0.8660783767700195,60.595097219944,0.56806640625,390,0.09797250479459763,7780,-0.03659685671882471,0.2,1000.0,5.447080646455288,3154.6064240099995,0.08198991,24.18939208984375,2.5e-05
508,1610,819200,0.8569750785827637,25.079230427742004,0.632177734375,400,0.0978763997554779,7980,-0.021781298573478124,0.2,1000.0,5.456113172322512,3188.0069110200006,0.10708386,10.006918907165527,2.5e-05
